@relation Luke-Lucene-and-Bing

@attribute LuceneRank numeric
@attribute BingRank numeric
@attribute LuceneScore numeric
@attribute Correct{1,0}


@data
9,?,0.13006116449832916,1
9,4,0.2922138571739197,1
4,?,0.6454939842224121,1
10,?,0.6793718338012695,1
3,?,0.1391669660806656,1
5,?,0.3348841965198517,1
1,?,0.4196985363960266,1
2,?,0.3780176043510437,1
4,6,0.43629488348960876,1
5,?,0.634627640247345,1
6,?,0.5536865592002869,1
1,13,1.0400453805923462,1
4,?,4.106863975524902,1
3,1,0.741712749004364,1
6,?,0.7303082942962646,1
5,?,0.22523954510688782,1
9,?,0.2486703246831894,1
5,?,0.22523954510688782,1
6,?,0.7303082942962646,1
3,1,0.741712749004364,1
4,?,4.106863975524902,1
2,?,0.7341732978820801,0
3,23,0.6540480256080627,1
4,28,0.5281984210014343,0
5,?,0.4000372588634491,0
6,?,0.39061427116394043,1
7,?,0.354220986366272,0
8,?,0.34137648344039917,0
9,?,0.3386303186416626,0
10,3,0.3254988491535187,1
1,?,0.2516029179096222,0
2,?,0.2344639152288437,0
3,?,0.22813773155212402,1
4,?,0.2155766487121582,0
5,?,0.1873948723077774,0
6,?,0.15496107935905457,1
7,?,0.1528986096382141,0
8,?,0.1373320370912552,0
9,?,0.13481536507606506,0
10,?,0.121185302734375,0
1,?,0.25686025619506836,0
2,?,0.21212364733219147,1
3,?,0.20437513291835785,0
4,?,0.1867237389087677,0
5,?,0.18573929369449615,0
6,?,0.1855422556400299,0
7,?,0.18392671644687653,0
8,?,0.18066830933094025,0
9,?,0.17868924140930176,1
10,?,0.1778220683336258,0
1,?,0.14225861430168152,0
2,?,0.14217033982276917,0
4,?,0.13148877024650574,1
5,?,0.1304309219121933,0
6,?,0.12601204216480255,0
7,?,0.1237282007932663,0
8,?,0.1189739853143692,0
9,?,0.11853863298892975,0
10,11,0.11563599854707718,0
1,11,1.2604331970214844,0
2,?,1.0828285217285156,0
3,?,1.0412094593048096,0
4,6,1.0218943357467651,1
5,?,0.7771674990653992,0
6,?,0.7271661162376404,0
7,?,0.6642138957977295,0
8,?,0.6302739381790161,1
9,?,0.6180727481842041,0
10,?,0.6096687316894531,0
1,?,0.20057949423789978,0
2,?,0.18944495916366577,0
3,?,0.18669982254505157,0
4,?,0.18291005492210388,1
5,?,0.17217764258384705,0
6,?,0.17212878167629242,0
7,?,0.1700294464826584,0
8,?,0.16863344609737396,0
9,?,0.16395728290081024,0
10,?,0.15974800288677216,1
1,?,0.4634661376476288,0
2,?,0.3785955309867859,0
3,?,0.3620193600654602,0
4,11,0.27995917201042175,1
5,?,0.26033449172973633,0
6,4,0.25826913118362427,1
7,?,0.2554256021976471,0
8,?,0.2531891167163849,0
9,?,0.24971921741962433,1
10,?,0.241731196641922,0
1,?,0.16109061241149902,0
2,?,0.14298483729362488,0
3,?,0.13670507073402405,0
4,?,0.1351313591003418,0
5,?,0.1306648850440979,0
6,?,0.12006102502346039,0
7,?,0.11586479097604752,0
8,?,0.11470866203308105,1
9,?,0.11307773739099503,0
10,?,0.10997999459505081,0
1,?,0.762866199016571,0
2,?,0.6537470817565918,0
3,?,0.6139675974845886,0
4,?,0.598949670791626,0
5,?,0.5679143071174622,1
6,?,0.5583786368370056,0
7,?,0.5580618381500244,1
8,?,0.5157802700996399,0
9,?,0.5043611526489258,0
10,?,0.5036481022834778,0
1,?,0.3681698739528656,0
2,?,0.3424077033996582,1
3,?,0.26545703411102295,0
4,?,0.210582435131073,0
5,?,0.2087235301733017,0
6,?,0.20684532821178436,0
7,?,0.19852681457996368,0
8,?,0.18035978078842163,0
9,?,0.16687631607055664,0
10,?,0.16429831087589264,0
1,17,0.4977676570415497,1
2,?,0.3376806378364563,0
3,?,0.3200263977050781,0
4,?,0.30783265829086304,0
5,7,0.30247631669044495,0
6,?,0.27093982696533203,1
8,?,0.2587360739707947,0
9,?,0.25515052676200867,0
10,?,0.2536357045173645,0
1,24,0.5936116576194763,0
2,4,0.5125569105148315,0
3,?,0.47958460450172424,0
4,?,0.37262675166130066,0
5,?,0.360921710729599,0
6,?,0.34243834018707275,0
7,?,0.3350025713443756,0
8,?,0.30458176136016846,0
9,?,0.2801314890384674,0
10,?,0.2517617344856262,1
1,?,0.27076271176338196,0
2,?,0.2400677651166916,0
3,?,0.23716233670711517,0
4,?,0.22581958770751953,0
5,?,0.21437396109104156,0
6,?,0.21349550783634186,0
7,?,0.19445520639419556,0
8,?,0.18861223757266998,0
9,?,0.17878255248069763,0
10,?,0.1766618937253952,0
1,?,0.48138394951820374,0
2,?,0.3197595477104187,1
